case,rt_depth,exposure,RT_num
S.Y. Motors ,2,548443,2220
S.Y. Motors ,2,1299553,1331
S.Y. Motors ,3,992925,946
S.Y. Motors ,1,957751,900
S.Y. Motors ,1,946897,882
S.Y. Motors ,1,447125,800
S.Y. Motors ,1,549688,791
S.Y. Motors ,1,479875,725
S.Y. Motors ,1,235703,708
S.Y. Motors ,2,398955,611
S.Y. Motors ,1,387413,595
S.Y. Motors ,1,421135,536
S.Y. Motors ,2,475474,521
S.Y. Motors ,1,375581,471
S.Y. Motors ,1,649239,469
S.Y. Motors ,2,499489,458
S.Y. Motors ,1,414531,447
S.Y. Motors ,1,233611,442
S.Y. Motors ,1,403481,442
S.Y. Motors ,2,165643,401
S.Y. Motors ,1,224048,399
S.Y. Motors ,1,584798,394
S.Y. Motors ,1,334032,378
S.Y. Motors ,1,278889,374
S.Y. Motors ,1,411676,373
S.Y. Motors ,1,364322,367
S.Y. Motors ,2,760683,364
S.Y. Motors ,1,427090,358
S.Y. Motors ,1,377425,357
S.Y. Motors ,1,315743,354
Seoul Human Right Charter,14,271672,4129
Seoul Human Right Charter,12,160217,2573
Seoul Human Right Charter,21,198866,2171
Seoul Human Right Charter,14,179065,2122
Seoul Human Right Charter,8,115290,1995
Seoul Human Right Charter,12,103175,1746
Seoul Human Right Charter,12,132425,1661
Seoul Human Right Charter,15,220755,1642
Seoul Human Right Charter,15,134826,1593
Seoul Human Right Charter,11,133151,1471
Seoul Human Right Charter,16,233941,1448
Seoul Human Right Charter,11,129690,1441
Seoul Human Right Charter,11,214854,1346
Seoul Human Right Charter,11,91968,1227
Seoul Human Right Charter,13,74213,1118
Seoul Human Right Charter,10,123931,975
Seoul Human Right Charter,10,65041,946
Seoul Human Right Charter,12,104237,855
Seoul Human Right Charter,19,158663,846
Seoul Human Right Charter,9,124369,841
Seoul Human Right Charter,7,88785,827
Seoul Human Right Charter,7,55519,807
Seoul Human Right Charter,13,128247,779
Seoul Human Right Charter,8,52440,777
Seoul Human Right Charter,10,39364,604
Seoul Human Right Charter,12,94248,566
Seoul Human Right Charter,9,103571,558
Seoul Human Right Charter,9,138934,538
Seoul Human Right Charter,10,81847,512
Seoul Human Right Charter,6,40703,505
